Organization Name,Contact,FLO ID,Function,Country,Product Type
Lanaya Cocoa Farmers' Cooperative Society Limited,"Mandu Chiefdom, Mobai, Sierra Leone",45973,Producer,Sierra Leone,Cocoa (Cocoa)
Landgard Nord Obst und Gemüse GmbH,"Bei der Lehmkuhle 6, Neu Wulmstorf, 21629, Germany",39469,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,Banana (Banana)
Landgarten GmbH & Co. KG,"Alte Wiener Strasse 25, Bruck an der Leitha, 2460, Austria",21721,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Austria,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Arabica, Robusta), Dried fruit (Banana, Pineapple), Nuts (Cashew Nut)"
Langen Kaffee GmbH & Co. KG,"Industriestraße 8, Medebach, 59964, Germany",1046,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Coffee (Arabica, Robusta)"
Langnese Honig GmbH & Co. KG,"Hammoorer Weg 25, Bargteheide, 22941, Germany",36105,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Germany,"Honey (A Quality, B Quality)"
Lanka Fair Cocos Farmers’ Association,"No-102, Janapadaya, Okkampitiya, Monaragala, 91000, Sri Lanka",42909,Producer,Sri Lanka,"Fresh fruit (Jackfruit), Herbs, herbal teas & spices (Black Pepper (Piper nigrum), Cinnamon (Cinnamomum zeylanicum, C. cassia)), Oilseeds and Oleaginous fruit (Coconut)"
Lantmannen Unibake Australia,"39 Bond Street, Mordiallo, 3195, Australia",43411,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Australia,"Cane sugar (Cane sugar), Cocoa (Cocoa)"
Lantmannen Unibake Londerzeel,"Boulevard de la Metropol 7, Mouscron, 7700, Belgium",41130,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
Lantmännen Unibake Mouscron,"Boulevard de la Métropole 7, Mouscron, 7700, Belgium",41132,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
Lanwehr GmbH,"Rudolf-Diesel-Str. 8-10, Illertissen, 89257, Germany",28430,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Arabica), Dried fruit (Cherry), Fresh fruit (Cherry, Physalis), Herbs, herbal teas & spices (Ginger (Zingiber officinale), Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Oilseeds and Oleaginous fruit (Coconut by-product)"
Lanço Trading AG,"Alte Steinhauserstrasse 19, Cham, 6330, Switzerland",33229,"Trader, Importer",Switzerland,Coffee (Not specified)
Laqtia SL,"Calle Padre Juan de Mariana, 113, 45534 La Mata, La Mata, 45534, Spain",34126,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Spain,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Not specified), Tea (Camellia sinensis)"
Larex AB,"Blasieholmsgatan 4A, Stockholm, 111 48, Sweden",19351,"Trader, Importer, Licensee",Sweden,"Oilseeds and Oleaginous fruit (Olive Oil), Wine grapes (Wine grapes)"
Laughing Whale Coffee Roasters,"261 Lincoln Stree, Lunenburg, B0J2C0, Canada",6411,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,Coffee (Not specified)
Laurel Investments Limited,"15km on Ol-Kalau-Njambini Road, Off Nyahuru Road, Ol-Kalau, Kenya",29914,"Producer, Producer that is also a Manufacturer/Processor",Kenya,Flowers and Plants (Cut Flowers)
Lauren International Flowers Ltd,"Gatanga Road, Nairobi, Kenya",43911,Producer,Kenya,Flowers and Plants (Cut Flowers)
Laurico Nutraceuticals,"SF No. 67 A1 Vaguthampalayam, Kinathukadavu -Taluk, Pollachi, 642120, India",47413,"Trader, Trader that is also a Manufacturer/Processor, Exporter",India,Oilseeds and Oleaginous fruit (Coconut)
Lautoka Cane Producers Association,"PO Box 5993, Lautoka, Fiji",28108,Producer,Fiji,Cane sugar (Cane sugar)
Lavino Kapur Cottons Private Limited,"Plot H-1, MIDC, Tarapur Industrial Area, Taps Post, Boisar, 401504, India",44888,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
Layo Teraga Coffee Producers Cooperative,"Guji Zone, Uraga district, Layo Teraga Kebele, Ethiopia",29738,Producer,Ethiopia,Coffee (Arabica)
Le Bonheur Wine Estate (Pty) Ltd,"Le Bonheur Estate, R44, Stellenbosch, South Africa",47093,"Producer, Producer that is also a Manufacturer/Processor",South Africa,Wine grapes (Wine grapes)
Le Mas de l’Armandine,"2 rue des Chauds Basses, Cohade, 43100, France",48567,"Trader, Trader that is also a Manufacturer/Processor",France,"Banana (Banana), Cane sugar (Cane sugar)"
Le Moulin d'Arche,"LA BARRADE, Madic, 15210, France",48173,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",France,Nuts (Cashew Nut)
Le Piantagioni del Caffe` srl,"Via Provinciale Pisana 583/B, Livorno, 57121, Italy",27827,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Italy,Coffee (Arabica)
Le Pivert,"2 Chemin de Souloumiac, La Fouillade, 12270, France",39197,"Trader, Trader that is also a Manufacturer/Processor",France,Cocoa (Cocoa)
Leatherware Private Ltd.,"19-km, Daska Road, Sialkot, Daska, 51010, Pakistan",19454,Producer,Pakistan,Sports Balls (Sports balls)
Lebenshilfewerke Hagenow,"Am Hasselsort 12A, Hagenow, 19230, Germany",22820,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,Coffee (Not specified)
Lebkuchen-Schmidt GmbH & Co. KG,"Zollhausstraße 30, Nürnberg, 90469, Germany",6121,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa)"
Lee & Fletcher,"35 Church Street, Adj. Fox & Crown, Old Basford, Nottingham, NG6 0GA, United Kingdom",1173,"Trader, Trader that is also a Manufacturer/Processor, Licensee",United Kingdom,Coffee (Not specified)
Lees Newsome Ltd,"ASHLEY WORKS, UNIT 2 RULE BUSINESS PARK, GRIMSHAW LANE, MIDDLETON, M24 2AE, United Kingdom",49834,"Trader, Importer",United Kingdom,Cotton (Seed Cotton)
Leeuwenkuil Family Vineyards (Pty) Ltd,"The Bulk Wine Centre, Bottelary Road, Stellenbosch, South Africa",28528,"Trader, Trader that is also a Manufacturer/Processor, Exporter",South Africa,Wine grapes (Wine grapes)
Legend International,"C 73, Sports & Surgical Complex, Kapurthala Road, Jalandhar, 144021, India",35562,"Producer, Producer that is also a Manufacturer/Processor, Licensee",India,Sports Balls (Sports balls)
Lehmann Natur GmbH,"Otto-Hahn-Straße 10, Meerbusch, 40670, Germany",1527,"Trader, Trader that is also a Manufacturer/Processor, Importer",Germany,"Fresh fruit (Limes), Herbs, herbal teas & spices (Ginger (Zingiber officinale))"
Lejonet & Björnen Sverige AB,"August Barks gata 3, Västra Frölunda, S-421 32, Sweden",23873,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Sweden,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Arabica), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Lemberona HandelsgmbH,"Tiroler Straße 3, St. Pölten, 3105, Austria",28564,"Trader, Importer, Licensee, Trader that is also a Manufacturer/Processor",Austria,"Cane sugar (Cane sugar), Cereals (Quinoa), Cocoa (Cocoa), Dried fruit (Apples, Apricot, Banana, Cherry, Date, Mango, Melon (Cucumis melo), Physalis, Pineapple, Pomegranate, Raisin, Watermelon), Dried vegetables (Not specified, Tomato), , , , , , ,"
Lemoine Estonia OÜ,"Asa tee 3, Loo, 74201, Estonia",47043,Licensee,Estonia,Cotton (Seed Cotton)
Lemoine Holland,"69 Vaassenseweg, Emst, Vaassen, 8166 AT, Netherlands",26089,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cotton (Seed Cotton)
LemonAid Beverages GmbH,"Neuer Kamp 31, Hamburg, 20359, Germany",21565,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Cane sugar (Cane sugar), Fruit juices (Lime, Orange, Passion fruit), Herbs, herbal teas & spices (Ginger (Zingiber officinale), Not specified, Rooibos (Aspalathus linearis)), Honey (B Quality), Pulp (Mango), Tea (Camellia sinensis)"
Lenis GmbH,"Sunderhooker Weg 5, Gronau (Westfalen), 48599, Germany",35228,"Trader, Trader that is also a Manufacturer/Processor",Germany,Coffee (Not specified)
Leopard Frog Vineyards Proprietary Limited,"8 Royal Ascot Lane, Sandown, Sandton, Johannesburg, 2196, South Africa",28957,"Trader, Licensee",South Africa,Wine grapes (Wine grapes)
Les Cafes Clements VIII inc,"112 B Laroche, Repentigny, J4G 1T5, Canada",45595,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,Coffee (Not specified)
Les Cafés Esperanza Sàrl,"Rue des artisans 136, Cp 34, Vuadens, 1628, Switzerland",2120,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Switzerland,"Coffee (Arabica, Robusta)"
Les Chevaliers d'Argouges,"826 route de l’Aubannerie, Zone artisanale La Busnouvière, Moyon, 50860, France",18452,"Trader, Trader that is also a Manufacturer/Processor, Licensee",France,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Arabica), Herbs, herbal teas & spices (Ginger (Zingiber officinale), Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Nuts (Brazil Nut)"
Les Epices De Madagascar,"STE BEMIR ANALAMANDROROFO SAMBAVA, Sambava, Madagascar",34179,"Trader, Exporter",Madagascar,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Les Murisseries du Soleil,"38 rue du Séminaire, Centra 401, Rungis Cedex, 94616, France",42230,"Trader, Trader that is also a Manufacturer/Processor, Licensee",France,"Banana (Banana), Fresh fruit (Mangoes, Pineapples)"
Les Torréfacteurs Normands,"21 Place Saint Marc, Rouen, 76000, France",43517,"Trader, Trader that is also a Manufacturer/Processor, Licensee",France,"Coffee (Arabica, Robusta)"
Lesaffre Austria AG,"Industriezentrum NÖ-Süd, Straße 7, Objekt 58B, Wiener Neudorf, 2355, Austria",45082,Trader,Austria,Cocoa (Cocoa)
Level Ground Trading Ltd.,"1757 Sean Heights, Saanichton, V8M 083, Canada",3249,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,Coffee (Not specified)
"Liaoning Zhengye Peanut Industry Development Co., Ltd.","Tangtun County, Hongaizi Town, Xingcheng, Liaoning Province, Liaoning, 125100, China",28298,"Trader, Trader that is also a Manufacturer/Processor, Exporter",China,Nuts (Peanut)
Libas Textiles Ltd.,"Nishchintapur, Mouchak, Kaliakoir, Gazipur, 1751, Bangladesh",25689,"Trader, Trader that is also a Manufacturer/Processor",Bangladesh,Cotton (Seed Cotton)
Libeert,"Avenue des Chateaux 107a, Comines, 7780, Belgium",23496,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Belgium,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Honey (A Quality)"
Liberation Foods,"The Green House, 244-254 Cambridge Heath Road, London, E2 9DA, United Kingdom",18472,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",United Kingdom,"Coffee (Arabica), Dried fruit (Apricot, Mango, Raisin, Sultana), Nuts (Almonds, Brazil Nut, Cashew Nut, Macadamia Nut, Not specified, Peanut)"
Liciacept (Pty) Ltd,"PO Box 12837, Die Boord, Stellenbosch, 7613, South Africa",42944,"Trader, Trader that is also a Manufacturer/Processor, Exporter",South Africa,Wine grapes (Wine grapes)
Liebhart's Gesunde Erzeugnisse Produktions und Handels GmbH,"Am Gelskamp 1-3, Detmold, 32758, Germany",44961,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cocoa (Cocoa)
Liebhart's Gesundkost GmbH & Co. KG,"Am Gelskamp 1-3, Detmold, 32758, Germany",22865,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cocoa (Cocoa)
Life Earth Reisen GmbH,"Roseggerstrasse 75, Kriegler, 8670, Austria",33739,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Austria,"Herbs, herbal teas & spices (Black Pepper (Piper nigrum), Cardamom (Elettaria & Amonum species), Chili pepper (Capsicum species), Cinnamon (Cinnamomum zeylanicum, C. cassia), Clove (Syzygium aromaticum), Fennel (Foeniculum vulgare), Ginger (Zingiber officinale), , , , , , , )"
Life Farm Company for Investment and Agricultural Development,"1 Makram Ebid Street, City light tower, Nasr City, 11765, Egypt",44166,"Trader, Exporter",Egypt,"Herbs, herbal teas & spices (Basil (Ocimum basilicum, O. gratissimum), Camomile (Matricaria recutita, Anthemis nobilis), Fennel (Foeniculum vulgare), Hibiscus (Hibiscus sabdariffa), Lemongrass (Cympobogon citratus, C. flexuosus), Liquorice (Glycyrrhiza glabra), Mint (Mentha species), Not specified)"
Lifebrands Natural Foods GmbH,"Gaußstraße 120-122, Hamburg, 22765, Germany",21131,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Coffee (Not specified), Herbs, herbal teas & spices (Rooibos (Aspalathus linearis)), Tea (Camellia sinensis)"
Lifefood Czech Republic s.r.o.,"Podnikatelská 566, Prague 9, 190 11, Czech Republic",45189,"Trader, Trader that is also a Manufacturer/Processor",Czech Republic,Cocoa (Cocoa)
Liga Agricola Industrial de la Cana de Azucar,"Barrio Tournón, Contiguo al Ministerio de Trabajo, Edificio LAICA, San José, Costa Rica",2395,"Trader, Exporter",Costa Rica,"Cane sugar (Cane sugar secondary product, Cane sugar)"
Lilly's Cakes,"Kluizenhof 19, Sint-Gillis-Waas, B-9170, Belgium",41568,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
Liloma Agricultural Cooperative Society Ltd,"7 Pendembu Road, Kailahun, Sierra Leone",44013,Producer,Sierra Leone,Cocoa (Cocoa)
Lily O'Briens,"Green Road, Newbridge, W12 D424, Ireland {Republic}",38270,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Ireland {Republic},"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
"Lily Tobeka Co., Ltd","(Head Office) 700/170 M.1, Amata Nakorn Industrial Estate,T.Bankao, A.Panthong, Chonburi, 20160, Thailand",39532,"Trader, Trader that is also a Manufacturer/Processor, Exporter, Importer",Thailand,"Cane sugar (Cane sugar), Nuts (Cashew Nut, Peanut)"
Liminal 8024 Ltd,"297 Lincoln Rd, Addington, Christchurch, 8024, New Zealand",20696,"Trader, Trader that is also a Manufacturer/Processor, Licensee",New Zealand,Coffee (Not specified)
Limu Inara Farmers Multipurpose Cooperative Union,"PO Box 73, Genet, Ethiopia",29806,"Producer, Producer that is also a Manufacturer/Processor",Ethiopia,Coffee (Arabica)
Lincoln & York Ltd.,"The Flarepath, North Lincolnshire, DN20 0SP, United Kingdom",1175,"Trader, Trader that is also a Manufacturer/Processor, Licensee",United Kingdom,Coffee (Not specified)
Lindvalls Kaffe AB,"Kungsgatan 60, Uppsala, 75106, Sweden",3735,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Sweden,"Coffee (Arabica, Robusta)"
Linking Coffee Co. Ltd.,"4F., No.2, Ln.117, Sec. 1, Anhe Road, Da'an District, Taipei, 106, Taiwan",40165,"Trader, Importer, Exporter",Taiwan,Coffee (Not specified)
Linyi Dongxu Foods Co. Ltd.,"Industrial park of Guosi Road, Sishilipu Town, 276408, China",21454,"Trader, Trader that is also a Manufacturer/Processor, Exporter",China,Nuts (Peanut)
Lir Chocolates Ltd,"IDA Business Park, Johnstown, Navan, Ireland {Republic}",19209,"Trader, Trader that is also a Manufacturer/Processor",Ireland {Republic},"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Not specified), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Lisa Dörrer,"Glashüttenstraße 5, Hamburg, 20357, Germany",48389,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Gold & associated Precious Metals (Gold, Silver)"
List & Beisler GmbH,"Pickhuben 6, Hamburg, 20457, Germany",19248,"Trader, Importer",Germany,"Coffee (Arabica, Robusta)"
List + Beisler Corp.,"200 South Biscayne Blvd, Level 20, Miami, 33131, United States",45867,"Trader, Importer",United States,Coffee (Not specified)
Little Owl Coffee Roasters,"Unit 3/8 Hayden Court, Myaree, Perth, 6154, Australia",41287,"Trader, Licensee",Australia,Coffee (Not specified)
Live Apparels,"8/608 A, AVP Layout, Angeripalayam Main Road, Ghandi Nagar Post, Tirupur, 641603, India",48900,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
Ljones Gartneri AS,"Tangavegen 187, Torvikbygd, N-5620, Norway",44479,"Trader, Trader that is also a Manufacturer/Processor",Norway,"Flowers and Plants (Ornamental Plants, Young Plant Material for Plants)"
Lofbergs Baltic SIA,"53 Ziemelu Street, Kekava, LV-2123, Latvia",46066,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Latvia,"Coffee (Arabica, Robusta), Tea (Camellia sinensis)"
Logotech Clothing Pvt. Ltd.,"P-80, Kasba Industrial Estate, Phase 2, EM Bypass, Kolkata, 700107, India",21591,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
"Loiret & Haentjens, España S.A.","C/ Osona, 1 - Parque Empresarial Mas Blau, El Prat de Llobregat, 08820, Spain",18569,Trader,Spain,Cane sugar (Cane sugar)
Loiret et Haentjens SA,"2, place de la Bourse BP 90705, Nantes Cedex 1, 44007, France",18515,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",France,"Cane sugar (Cane sugar), Oilseeds and Oleaginous fruit (Coconut)"
Lokmangal Agro Industries Ltd,"Subhash Nagar, Post-Bibidarphal, Taluk-North Solapur, Solapur, India",37288,"Trader, Trader that is also a Manufacturer/Processor, Exporter",India,"Cane sugar (By-products of cane sugar, Cane sugar)"
Long Son Joint Stock Company,"Plot III 23A, 19/5A Road, Tan Binh Industrial Park, Tan phu District, Ho Chi Minh, 700000, Vietnam",45379,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Vietnam,Nuts (Cashew Nut)
Loon Kombucha Inc.,"410 Highway 511, Balderson, K0G1A, Canada",46050,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,"Cane sugar (Cane sugar), Herbs, herbal teas & spices (Cinnamon (Cinnamomum zeylanicum, C. cassia), Hibiscus (Hibiscus sabdariffa), Not specified), Tea (Camellia sinensis)"
Lorca Holding B.V.,"Parmentierplein 1, Rotterdam, 3088 GN, Netherlands",47169,Trader,Netherlands,Nuts (Cashew Nut)
Lord & Lady Coffee Inc.,"Deseronto Road 676, Deseronto, K0K 1X0, Canada",43777,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,Coffee (Not specified)
Lotus Bakeries Belgie NV,"Gentstraat 52, Lembeke, 9971, Belgium",44410,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
Lotus Bakeries Schweiz AG,"Nordstrasse 3, Zug, 6300, Switzerland",44417,"Trader, Trader that is also a Manufacturer/Processor",Switzerland,Cocoa (Cocoa)
Lotus Co.,"El Katiba, Belbes, Egypt",4441,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Egypt,"Cotton (Seed Cotton), Fresh fruit (Dates, Mangoes, Oranges, Table Grapes), Fruit juices (Orange), Herbs, herbal teas & spices (Basil (Ocimum basilicum, O. gratissimum), Camomile (Matricaria recutita, Anthemis nobilis), Fennel (Foeniculum vulgare), , , , , ),"
Lotus Upper Egypt for Organic Products,"East of El Sharkia El Motahra - Industry Area, El Minia Governorate, El Minia, Egypt",25608,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Egypt,"Cotton (Seed Cotton), Fresh fruit (Dates, Mangoes, Oranges, Table Grapes), Fruit juices (Orange), Herbs, herbal teas & spices (Basil (Ocimum basilicum, O. gratissimum), Camomile (Matricaria recutita, Anthemis nobilis), Fennel (Foeniculum vulgare), , , , , ),"
Louis Ditzler AG,"Industriezone/Bäumlimattstrasse 20, Möhlin, 4313, Switzerland",26225,"Trader, Trader that is also a Manufacturer/Processor",Switzerland,"Cane sugar (Cane sugar), Cocoa (Cocoa), Fresh fruit (Mangoes), Herbs, herbal teas & spices (Cinnamon (Cinnamomum zeylanicum, C. cassia), Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Oilseeds and Oleaginous fruit (Coconut), Pulp (Mango)"
Louis Dreyfus Company Honduras S. de R.I. de C.V.,"Km 7.5 Sector Dos Caminos, Villanueva, Honduras",33332,"Trader, Exporter",Honduras,Coffee (Arabica)
Louis Dreyfus Company India Pvt. Ltd.,"Survey No. 39/40, B.M Road, Koppa, Near Kushalnagar, koppa, 571104, India",46364,"Trader, Trader that is also a Manufacturer/Processor, Exporter",India,"Coffee (Arabica, Robusta)"
Louis Dreyfus Company Mexico S.A. de C.V.,"Avenida Insurgentes Sur #859, int 302 Colonia Nápoles, Ciudad de México, 03810, Mexico",20726,"Trader, Exporter",Mexico,"Coffee (Arabica, Robusta)"
Louis Dreyfus Company Sucos S.A.,"Rua Rod. BR 376 – Km 112 – Parque Industrial s/n, Caixa Postal 28, Paranavaí, 87701, Brazil",28378,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Brazil,"Fresh fruit (Oranges), Fruit juices (Orange)"
Louis Dreyfus Company Suisse SA,"Swissair Centre, 29 Route de l'aéroport, P.O.Box 236, Geneva, 1215, Switzerland",28484,"Trader, Importer",Switzerland,"Coffee (Not specified), Fruit juices (Orange)"
Loyal.Food GmbH,"Robert-Koch Str 18, Langenfeld, 40764, Germany",39300,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Coconut palm sugar/nectar (Cocos nucifera), Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Tea (Camellia sinensis)"
Lubs GmbH,"Stockholmring 25, Lübeck, 23560, Germany",5133,"Trader, Trader that is also a Manufacturer/Processor, Importer",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa), Dried fruit (Date, Mango), Herbs, herbal teas & spices (Not specified, Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Nuts (Cashew Nut)"
Lucaffé Srl S.B.,"Via 1 Maggio 35, Carpenedolo, 25013, Italy",48581,"Trader, Trader that is also a Manufacturer/Processor, Importer",Italy,Coffee (Not specified)
Ludlow Lifestyle (A Unit of Ludlow Jute & Specialities Ltd.),"Chengail Howrah, 711308, India",45905,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
"Ludomar Chocolate Passion, S.L.U.","Carrer de la Ciutat d'Asuncion, 58, Barcelona, 08030, Spain",40623,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Spain,Cocoa (Cocoa)
Ludwig Czekolada Sp.z.o.o.,"Ul. Rzeczna 3, Skoczów, 43-430, Poland",35225,"Trader, Trader that is also a Manufacturer/Processor",Poland,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Ludwig H.O. Schroeder & Rudolph Hamann GmbH & Co. KG,"Ludiwg-Erhard-Straße 14 (5.Stock), Hamburg, 20459, Germany",34000,"Trader, Importer",Germany,Tea (Camellia sinensis)
Ludwig Schokolade GmbH & Co. KG,"Senefelder Straße 44, Bergisch Gladbach, 51469, Germany",22824,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Ludwig Weinrich GmbH & Co. KG,"Diebrocker Str. 17, Herford, 32051, Germany",1460,"Trader, Trader that is also a Manufacturer/Processor, Licensee, Importer",Germany,"Cane sugar (Cane sugar), Cereals (Quinoa), Cocoa (Cocoa), Coffee (Arabica, Robusta), Dried fruit (Mango, Raisin), Herbs, herbal teas & spices (Not specified), Honey (A Quality, B Quality), Nuts (Not specified), Oilseeds and Oleaginous fruit (Coconut), Tea (Camellia sinensis)"
Luigi Lavazza S.p.A,"Via Bologna 32, Torino, 10152, Italy",23613,"Trader, Trader that is also a Manufacturer/Processor",Italy,Coffee (Not specified)
Luigi Zaini SpA,"Via Imbonati 59, Milano, 20159, Italy",47601,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Italy,Cocoa (Cocoa)
Lujeri Tea Estates Limited,"P.O. Box 133, Mulanje, Malawi",19393,"Trader, Trader that is also a Manufacturer/Processor",Malawi,Tea (Camellia sinensis)
Lumbini Tea Factory (Pvt) Ltd.,"Lumbini Tea Valley, Pallegama, Kolawenigama, Deniyaya, 81500, Sri Lanka",48562,Producer,Sri Lanka,Tea (Camellia sinensis)
Lunar Ventures Ltd t/a Union Hand-Roasted Coffee,"Unit 2-7a South Crescent, Cody Road Industrial Park, London, E16 4TL, United Kingdom",2401,"Trader, Trader that is also a Manufacturer/Processor, Licensee",United Kingdom,Coffee (Not specified)
Luong Quoi Coconut Co. Ltd.,"Lot A36, A37, An Hiep Industrial, Ben Tre Province, Vietnam",39691,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Vietnam,Oilseeds and Oleaginous fruit (Coconut for processing)
Lurvin Radamés Ventura Sagastume,"Calle1: Barrio El Bosque, a 300 mts del Hospital Departamental, Código Postal: 43201, San Marcos, Honduras",39553,"Trader, Exporter",Honduras,Coffee (Arabica)
Lush Manufacturing GmbH,"Bonner Straße 209, Düsseldorf, 40589, Germany",38016,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Cocoa (Cocoa), Coffee (Arabica), Herbs, herbal teas & spices (Cardamom (Elettaria & Amonum species), Cinnamon (Cinnamomum zeylanicum, C. cassia), Clove (Syzygium aromaticum), Ginger (Zingiber officinale), Not specified), Honey (Not specified), Nuts (Almonds)"
Lush Manufacturing Ltd,"High Street 29, Poole, BH15 1AB, United Kingdom",22073,"Trader, Trader that is also a Manufacturer/Processor",United Kingdom,"Cocoa (Cocoa), Coffee (Arabica), Herbs, herbal teas & spices (Cardamom (Elettaria & Amonum species), Cinnamon (Cinnamomum zeylanicum, C. cassia), Clove (Syzygium aromaticum), Ginger (Zingiber officinale), Not specified), Honey (Not specified), Nuts (Almonds)"
Lutzville Vineyards (Pty) Ltd,"Lutzville Vineyards, R363, Lutzville, 8165, South Africa",35561,"Producer that also exports for other producers, Exporter, Producer, Producer that is also a Manufacturer/Processor",South Africa,Wine grapes (Wine grapes)
Lyons Magnus,"3158 E. Hamilton Ave., Fresno, 93702, United States",30221,"Trader, Trader that is also a Manufacturer/Processor",United States,"Banana (Banana), Cane sugar (Cane sugar)"
Läckerli Huus AG,"Flachsackerstrasse 50, Frenkendorf, 4402, Switzerland",45029,"Trader, Trader that is also a Manufacturer/Processor",Switzerland,Cocoa (Cocoa)
Lösmich GmbH,"Glasower Str. 33, Berlin, 12051, Germany",44895,"Trader, Trader that is also a Manufacturer/Processor",Germany,Coffee (Arabica)
Lübecker Marzipan-Fabrik v. Minden & Bruhns GmbH & Co.KG,"Albert-Einstein-Straße 64, Stockelsdorf, 23617, Germany",20676,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa)"
M & V RIVAS E.I.R.L.,"Manzana F, Lote F3, Sección 10 de octubre, Calle Uno., Chanchamayo, Peru",39382,"Trader, Exporter",Peru,Coffee (Arabica)
